country,proportion,rank,time,value,zhou
巴哈马,0.0133%,84,1961,190098039,美洲
圭亚那,0.0130%,85,1961,185848451,美洲
利比里亚,0.0129%,86,1961,183920900,非洲
马拉维,0.0122%,87,1961,174576508,非洲
加蓬,0.0117%,88,1961,167637907,非洲
刚果（布）,0.0106%,89,1961,151675739,非洲
多哥,0.0089%,90,1961,126396469,非洲
中非,0.0086%,91,1961,123134584,非洲
卢旺达,0.0085%,92,1961,122000016,非洲
斐济群岛,0.0082%,93,1961,116987784,大洋洲
毛里塔尼亚,0.0075%,94,1961,107726205,非洲
苏里南,0.0075%,95,1961,107700000,美洲
百慕大,0.0062%,96,1961,89249986,美洲
斯威士兰,0.0030%,97,1961,43025199,非洲
莱索托,0.0025%,98,1961,35699286,非洲
博茨瓦纳,0.0023%,99,1961,32902336,非洲
伯利兹,0.0021%,100,1961,29964370,美洲
圣文森特和格林纳丁斯,0.0010%,101,1961,13999883,美洲
圣基茨和尼维斯,0.0009%,102,1961,12483229,美洲
塞舌尔,0.0008%,103,1961,11592024,非洲
美国,30.2496%,1,1986,4579631000000,美洲
日本,13.7320%,2,1986,2078953333673,亚洲
德国,6.9108%,3,1986,1046259375123,欧洲
法国,5.0958%,4,1986,771470783218,欧洲
意大利,4.2299%,5,1986,640386352123,欧洲
英国,3.9727%,6,1986,601452653180,欧洲
加拿大,2.4931%,7,1986,377437927311,美洲
中国,1.9866%,8,1986,300758100107,亚洲
巴西,1.7711%,9,1986,268137224729,美洲
西班牙,1.6600%,10,1986,251321074967,欧洲
印度,1.6446%,11,1986,248985994044,亚洲
伊朗,1.3811%,12,1986,209094561833,亚洲
荷兰,1.3267%,13,1986,200862095880,欧洲
澳大利亚,1.2024%,14,1986,182036933407,大洋洲
瑞士,1.0204%,15,1986,154482372838,欧洲
瑞典,0.9859%,16,1986,149265835813,欧洲
墨西哥,0.8887%,17,1986,134550096436,美洲
比利时,0.7928%,18,1986,120018787159,欧洲
韩国,0.7632%,19,1986,115537126325,亚洲
阿根廷,0.7327%,20,1986,110934442762,美洲
奥地利,0.6542%,21,1986,99036165209,欧洲
丹麦,0.5818%,22,1986,88078760103,欧洲
沙特阿拉伯,0.5744%,23,1986,86961922765,亚洲
印尼,0.5281%,24,1986,79954072569,亚洲
挪威,0.5198%,25,1986,78693253275,欧洲
土耳其,0.5002%,26,1986,75728009962,欧洲
芬兰,0.4857%,27,1986,73531550551,欧洲
南非,0.4460%,28,1986,67521602552,非洲
阿尔及利亚,0.4207%,29,1986,63696301892,非洲
委内瑞拉,0.3989%,30,1986,60391604938,美洲
希腊,0.3724%,31,1986,56379593719,欧洲
伊拉克,0.3113%,32,1986,47127693792,亚洲
泰国,0.2847%,33,1986,43096746122,亚洲
埃及,0.2725%,34,1986,41253507951,非洲
香港,0.2713%,35,1986,41075570591,亚洲
葡萄牙,0.2559%,36,1986,38745902023,欧洲
哥伦比亚,0.2308%,37,1986,34942489683,美洲
以色列,0.2252%,38,1986,34097561975,亚洲
阿联酋,0.2242%,39,1986,33943612094,亚洲
巴基斯坦,0.2107%,40,1986,31899071053,亚洲
新西兰,0.2022%,41,1986,30604668356,大洋洲
菲律宾,0.1973%,42,1986,29868339080,亚洲
爱尔兰,0.1899%,43,1986,28748959622,欧洲
马来西亚,0.1832%,44,1986,27734562640,亚洲
越南,0.1740%,45,1986,26336616250,亚洲
古巴,0.1600%,46,1986,24226574634,美洲
波多黎各,0.1454%,47,1986,22009300000,美洲
孟加拉,0.1438%,48,1986,21774033333,亚洲
尼日利亚,0.1369%,49,1986,20721499308,非洲
保加利亚,0.1338%,50,1986,20249294117,欧洲
摩洛哥,0.1286%,51,1986,19462175321,非洲
智利,0.1248%,52,1986,18891048818,美洲
新加坡,0.1228%,53,1986,18586746056,亚洲
科威特,0.1183%,54,1986,17903681693,亚洲
苏丹,0.1042%,55,1986,15769062500,非洲
厄瓜多尔,0.1012%,56,1986,15314143988,美洲
秘鲁,0.1007%,57,1986,15244232957,美洲
叙利亚,0.0878%,58,1986,13293209270,亚洲
喀麦隆,0.0702%,59,1986,10621158532,非洲
埃塞俄比亚,0.0651%,60,1986,9848600869,非洲
科特迪瓦,0.0605%,61,1986,9158302205,非洲
突尼斯,0.0596%,62,1986,9018136020,非洲
刚果（金）,0.0535%,63,1986,8095367168,非洲
阿曼,0.0484%,64,1986,7323822251,亚洲
肯尼亚,0.0478%,65,1986,7239126716,非洲
危地马拉,0.0478%,66,1986,7231963515,美洲
安哥拉,0.0467%,67,1986,7072063345,非洲
卢森堡,0.0457%,68,1986,6921264132,欧洲
巴拿马,0.0449%,69,1986,6797834200,美洲
斯里兰卡,0.0423%,70,1986,6405210563,亚洲
约旦,0.0423%,71,1986,6401380000,亚洲
津巴布韦,0.0411%,72,1986,6217523700,非洲
多米尼加,0.0404%,73,1986,6122198120,美洲
乌拉圭,0.0388%,74,1986,5880112788,美洲
加纳,0.0378%,75,1986,5727602644,非洲
莫桑比克,0.0347%,76,1986,5247193069,非洲
卡塔尔,0.0334%,77,1986,5053021950,亚洲
特立尼达和多巴哥,0.0317%,78,1986,4794444444,美洲
哥斯达黎加,0.0292%,79,1986,4418983870,美洲
塞内加尔,0.0277%,80,1986,4189860416,非洲
冰岛,0.0264%,81,1986,3995619693,欧洲
玻利维亚,0.0261%,82,1986,3958338883,美洲
乌干达,0.0259%,83,1986,3923232122,非洲
洪都拉斯,0.0252%,84,1986,3808500050,美洲
萨尔瓦多,0.0249%,85,1986,3771663200,美洲
巴拉圭,0.0246%,86,1986,3723993942,美洲
加蓬,0.0225%,87,1986,3403638193,非洲
马达加斯加,0.0215%,88,1986,3258288890,非洲
塞浦路斯,0.0204%,89,1986,3090734463,欧洲
巴林,0.0202%,90,1986,3052393617,亚洲
蒙古,0.0191%,91,1986,2896178866,亚洲
尼加拉瓜,0.0191%,92,1986,2885710608,美洲
尼泊尔,0.0188%,93,1986,2850784523,亚洲
牙买加,0.0182%,94,1986,2754566176,美洲
巴布亚新几内亚,0.0175%,95,1986,2648033765,大洋洲
巴哈马,0.0163%,96,1986,2472500000,美洲
文莱,0.0156%,97,1986,2358592817,亚洲
海地,0.0153%,98,1986,2318000000,美洲
法属波利尼西亚,0.0152%,99,1986,2301514717,大洋洲
阿尔巴尼亚,0.0139%,100,1986,2097326250,欧洲
布基纳法索,0.0135%,101,1986,2036303381,非洲
卢旺达,0.0128%,102,1986,1944711061,非洲
几内亚,0.0127%,103,1986,1922600899,非洲
尼日尔,0.0126%,104,1986,1904097020,非洲
马里,0.0122%,105,1986,1852163474,非洲
刚果（布）,0.0122%,106,1986,1849268214,非洲
纳米比亚,0.0119%,107,1986,1806223061,非洲
老挝,0.0117%,108,1986,1776842041,亚洲
赞比亚,0.0110%,109,1986,1661948717,非洲
澳门,0.0100%,110,1986,1517496131,亚洲
摩纳哥,0.0100%,111,1986,1515209588,欧洲
毛里求斯,0.0097%,112,1986,1462900255,非洲
马耳他,0.0095%,113,1986,1435079200,欧洲
博茨瓦纳,0.0092%,114,1986,1392634771,非洲
贝宁,0.0088%,115,1986,1336102040,非洲
巴巴多斯,0.0087%,116,1986,1315616765,美洲
斐济群岛,0.0085%,117,1986,1290228616,大洋洲
布隆迪,0.0079%,118,1986,1201725497,非洲
新喀里多尼亚,0.0079%,119,1986,1201262517,大洋洲
马拉维,0.0078%,120,1986,1183654827,非洲
百慕大,0.0078%,121,1986,1173500032,美洲
中非,0.0074%,122,1986,1122265026,非洲
乍得,0.0071%,123,1986,1067828247,非洲
多哥,0.0070%,124,1986,1060911735,非洲
索马里,0.0061%,125,1986,930318705,非洲
苏里南,0.0059%,126,1986,891000000,美洲
利比里亚,0.0056%,127,1986,840964400,非洲
毛里塔尼亚,0.0053%,128,1986,802890746,非洲
列支敦士登,0.0051%,129,1986,779365167,欧洲
格陵兰,0.0040%,130,1986,603015696,美洲
圭亚那,0.0033%,131,1986,504651139,美洲
塞拉利昂,0.0032%,132,1986,490181456,非洲
安道尔,0.0032%,133,1986,482000594,欧洲
斯威士兰,0.0030%,134,1986,449146608,非洲
阿鲁巴,0.0027%,135,1986,405463417,美洲
莱索托,0.0021%,136,1986,318862888,非洲
圣卢西亚,0.0020%,137,1986,304169848,美洲
安提瓜和巴布达,0.0019%,138,1986,290440140,美洲
伯利兹,0.0015%,139,1986,231638320,美洲
所罗门群岛,0.0014%,140,1986,210737869,大洋洲
塞舌尔,0.0014%,141,1986,207850623,非洲
不丹,0.0013%,142,1986,201375725,亚洲
佛得角,0.0013%,143,1986,190651207,非洲
格林纳达,0.0012%,144,1986,187589522,美洲
冈比亚,0.0012%,145,1986,185646209,非洲
科摩罗,0.0011%,146,1986,162487763,非洲
圣文森特和格林纳丁斯,0.0011%,147,1986,160846656,美洲
马尔代夫,0.0009%,148,1986,141902097,亚洲
多米尼克,0.0009%,149,1986,135161958,美洲
圣基茨和尼维斯,0.0009%,150,1986,130684579,美洲
几内亚比绍,0.0009%,151,1986,130225018,非洲
瓦努阿图,0.0008%,152,1986,118691396,大洋洲
密克罗尼西亚联邦,0.0007%,153,1986,112210000,大洋洲
萨摩亚,0.0007%,154,1986,100947848,大洋洲
赤道几内亚,0.0005%,155,1986,76407396,非洲
汤加,0.0005%,156,1986,68195855,大洋洲
马绍尔群岛,0.0004%,157,1986,55989000,大洋洲
基里巴斯,0.0002%,158,1986,32085561,大洋洲
美国,33.8685%,1,1985,4338979000000,美洲
日本,10.9193%,2,1985,1398892744820,亚洲
德国,5.7179%,3,1985,732534886726,欧洲
法国,4.3176%,4,1985,553138414367,欧洲
英国,3.8192%,5,1985,489285164271,欧洲
意大利,3.5298%,6,1985,452217491937,欧洲
加拿大,2.8472%,7,1985,364756499450,美洲
中国,2.4158%,8,1985,309488028132,亚洲
印度,1.8149%,9,1985,232511877842,亚洲
巴西,1.7402%,10,1985,222942790435,美洲
墨西哥,1.5238%,11,1985,195219789801,美洲
西班牙,1.4112%,12,1985,180793464187,欧洲
澳大利亚,1.4068%,13,1985,180234716575,大洋洲
伊朗,1.4064%,14,1985,180183629598,亚洲
荷兰,1.1228%,15,1985,143845822916,欧洲
瑞典,0.8835%,16,1985,113189136565,欧洲
瑞士,0.8412%,17,1985,107766112124,欧洲
沙特阿拉伯,0.8110%,18,1985,103897846493,亚洲
韩国,0.7827%,19,1985,100273097170,亚洲
阿根廷,0.6901%,20,1985,88416668900,美洲
比利时,0.6734%,21,1985,86268264488,欧洲
印尼,0.6657%,22,1985,85289491750,亚洲
奥地利,0.5416%,23,1985,69386774474,欧洲
土耳其,0.5248%,24,1985,67234948264,欧洲
挪威,0.5106%,25,1985,65416879914,欧洲
丹麦,0.4891%,26,1985,62658568287,欧洲
委内瑞拉,0.4837%,27,1985,61965466666,美洲
南非,0.4612%,28,1985,59082638803,非洲
阿尔及利亚,0.4522%,29,1985,57937868670,非洲
芬兰,0.4361%,30,1985,55875863392,欧洲
伊拉克,0.3769%,31,1985,48284979092,亚洲
希腊,0.3733%,32,1985,47820850974,欧洲
阿联酋,0.3169%,33,1985,40603650231,亚洲
埃及,0.3048%,34,1985,39053502251,非洲
泰国,0.3036%,35,1985,38900692712,亚洲
香港,0.2787%,36,1985,35699543050,亚洲
哥伦比亚,0.2724%,37,1985,34894411351,美洲
马来西亚,0.2435%,38,1985,31200161095,亚洲
巴基斯坦,0.2431%,39,1985,31144920554,亚洲
菲律宾,0.2399%,40,1985,30734335448,亚洲
尼日利亚,0.2254%,41,1985,28873977228,非洲
以色列,0.2147%,42,1985,27504908679,亚洲
葡萄牙,0.2117%,43,1985,27115807153,欧洲
新西兰,0.1926%,44,1985,24679795396,大洋洲
古巴,0.1789%,45,1985,22920490774,美洲
孟加拉,0.1739%,46,1985,22278423076,亚洲
科威特,0.1674%,47,1985,21442619680,亚洲
爱尔兰,0.1662%,48,1985,21295485799,欧洲
波多黎各,0.1584%,49,1985,20289200000,美洲
新加坡,0.1495%,50,1985,19156532745,亚洲
智利,0.1382%,51,1985,17702885393,美洲
保加利亚,0.1339%,52,1985,17155421052,欧洲
厄瓜多尔,0.1339%,53,1985,17149094589,美洲
秘鲁,0.1292%,54,1985,16548827018,美洲
叙利亚,0.1280%,55,1985,16403544510,亚洲
摩洛哥,0.1170%,56,1985,14991283215,非洲
越南,0.1100%,57,1985,14094687820,亚洲
苏丹,0.0968%,58,1985,12403733333,非洲
阿曼,0.0781%,59,1985,10005500579,亚洲
危地马拉,0.0759%,60,1985,9721652086,美洲
埃塞俄比亚,0.0740%,61,1985,9480840483,非洲
突尼斯,0.0656%,62,1985,8410185739,非洲
喀麦隆,0.0636%,63,1985,8148223603,非洲
安哥拉,0.0590%,64,1985,7553560459,非洲
特立尼达和多巴哥,0.0576%,65,1985,7375918367,美洲
刚果（金）,0.0562%,66,1985,7195042616,非洲
科特迪瓦,0.0545%,67,1985,6977650069,非洲
巴拿马,0.0511%,68,1985,6541517100,美洲
卡塔尔,0.0480%,69,1985,6153296456,亚洲
肯尼亚,0.0479%,70,1985,6135034338,非洲
斯里兰卡,0.0467%,71,1985,5978460972,亚洲
津巴布韦,0.0440%,72,1985,5637259300,非洲
玻利维亚,0.0420%,73,1985,5377277406,美洲
多米尼加,0.0394%,74,1985,5044592944,美洲
约旦,0.0390%,75,1985,4993829194,亚洲
卢森堡,0.0370%,76,1985,4738559684,欧洲
乌拉圭,0.0369%,77,1985,4732017873,美洲
加纳,0.0352%,78,1985,4504342149,非洲
莫桑比克,0.0348%,79,1985,4456240740,非洲
哥斯达黎加,0.0306%,80,1985,3919203960,美洲
萨尔瓦多,0.0297%,81,1985,3800368600,美洲
巴林,0.0285%,82,1985,3651861702,亚洲
洪都拉斯,0.0284%,83,1985,3639499950,美洲
文莱,0.0275%,84,1985,3523612563,亚洲
乌干达,0.0275%,85,1985,3519666338,非洲
加蓬,0.0261%,86,1985,3339914759,非洲
巴拉圭,0.0256%,87,1985,3282449235,美洲
冰岛,0.0233%,88,1985,2988537806,欧洲
塞内加尔,0.0231%,89,1985,2962199835,非洲
马达加斯加,0.0223%,90,1985,2857889712,非洲
尼加拉瓜,0.0209%,91,1985,2683816288,美洲
尼泊尔,0.0205%,92,1985,2619913955,亚洲
塞浦路斯,0.0190%,93,1985,2430411900,欧洲
巴布亚新几内亚,0.0189%,94,1985,2423373088,大洋洲
老挝,0.0185%,95,1985,2366666615,亚洲
巴哈马,0.0181%,96,1985,2320699900,美洲
赞比亚,0.0178%,97,1985,2281258064,非洲
蒙古,0.0171%,98,1985,2186505475,亚洲
刚果（布）,0.0169%,99,1985,2160872541,非洲
牙买加,0.0164%,100,1985,2100223149,美洲
海地,0.0157%,101,1985,2009400000,美洲
阿尔巴尼亚,0.0148%,102,1985,1897050133,欧洲
卢旺达,0.0134%,103,1985,1715625839,非洲
纳米比亚,0.0125%,104,1985,1605911706,非洲
布基纳法索,0.0121%,105,1985,1552493413,非洲
法属波利尼西亚,0.0118%,106,1985,1507230778,大洋洲
尼日尔,0.0112%,107,1985,1440581533,非洲
马里,0.0109%,108,1985,1392195933,非洲
澳门,0.0105%,109,1985,1348827324,亚洲
巴巴多斯,0.0094%,110,1985,1198329438,美洲
布隆迪,0.0090%,111,1985,1149979285,非洲
斐济群岛,0.0089%,112,1985,1141210124,大洋洲
马拉维,0.0088%,113,1985,1131347798,非洲
马耳他,0.0087%,114,1985,1117835285,欧洲
博茨瓦纳,0.0087%,115,1985,1114764007,非洲
摩纳哥,0.0085%,116,1985,1082851076,欧洲
毛里求斯,0.0084%,117,1985,1076121094,非洲
贝宁,0.0082%,118,1985,1045712703,非洲
百慕大,0.0081%,119,1985,1039500032,美洲
乍得,0.0081%,120,1985,1033069709,非洲
索马里,0.0068%,121,1985,876404617,非洲
苏里南,0.0068%,122,1985,873000000,美洲
中非,0.0068%,123,1985,864849765,非洲
塞拉利昂,0.0067%,124,1985,856890498,非洲
新喀里多尼亚,0.0067%,125,1985,854823821,大洋洲
利比里亚,0.0066%,126,1985,851296100,非洲
多哥,0.0060%,127,1985,762359722,非洲
毛里塔尼亚,0.0053%,128,1985,683193876,非洲
列支敦士登,0.0041%,129,1985,529078995,欧洲
圭亚那,0.0035%,130,1985,453488372,美洲
格陵兰,0.0032%,131,1985,412876071,美洲
斯威士兰,0.0028%,132,1985,361014890,非洲
安道尔,0.0027%,133,1985,346737964,欧洲
吉布提,0.0027%,134,1985,340989527,非洲
莱索托,0.0021%,135,1985,268626912,非洲
圣卢西亚,0.0020%,136,1985,254459434,美洲
安提瓜和巴布达,0.0019%,137,1985,240923924,美洲
所罗门群岛,0.0018%,138,1985,232306861,大洋洲
冈比亚,0.0018%,139,1985,225724851,非洲
伯利兹,0.0017%,140,1985,212643742,美洲
不丹,0.0013%,141,1985,172217502,亚洲
塞舌尔,0.0013%,142,1985,168887539,非洲
格林纳达,0.0013%,143,1985,167728455,美洲
圣文森特和格林纳丁斯,0.0011%,144,1985,145641705,美洲
几内亚比绍,0.0011%,145,1985,143856253,非洲
佛得角,0.0011%,146,1985,137728155,非洲
马尔代夫,0.0010%,147,1985,127154929,亚洲
瓦努阿图,0.0010%,148,1985,123698506,大洋洲
多米尼克,0.0009%,149,1985,119491932,美洲
科摩罗,0.0009%,150,1985,114490697,非洲
圣基茨和尼维斯,0.0009%,151,1985,111008962,美洲
萨摩亚,0.0007%,152,1985,95572172,大洋洲
赤道几内亚,0.0005%,153,1985,62118564,非洲
汤加,0.0005%,154,1985,60058663,大洋洲
马绍尔群岛,0.0003%,155,1985,43879000,大洋洲
基里巴斯,0.0003%,156,1985,32125148,大洋洲
美国,33.1036%,1,1984,4037613000000,美洲
日本,10.8092%,2,1984,1318381627003,亚洲
德国,5.9450%,3,1984,725111123771,欧洲
法国,4.3510%,4,1984,530683779929,欧洲
英国,3.7836%,5,1984,461487097632,欧洲
意大利,3.5902%,6,1984,437887688781,欧洲
加拿大,2.9136%,7,1984,355372558103,美洲
中国,2.1313%,8,1984,259946510957,亚洲
印度,1.7394%,9,1984,212158234164,亚洲
巴西,1.7137%,10,1984,209023912696,美洲
澳大利亚,1.5844%,11,1984,193242166274,大洋洲
墨西哥,1.5107%,12,1984,184261495828,美洲
西班牙,1.4110%,13,1984,172102910888,欧洲
伊朗,1.3305%,14,1984,162276728618,亚洲
荷兰,1.1799%,15,1984,143912664079,欧洲
沙特阿拉伯,0.9808%,16,1984,119624858115,亚洲
瑞典,0.8880%,17,1984,108307262578,欧洲
瑞士,0.8714%,18,1984,106285277141,欧洲
韩国,0.7920%,19,1984,96597434179,亚洲
印尼,0.6957%,20,1984,84853699994,亚洲
比利时,0.6834%,21,1984,83349529879,欧洲
阿根廷,0.6485%,22,1984,79092001998,美洲
南非,0.6341%,23,1984,77344092904,非洲
奥地利,0.5574%,24,1984,67985345161,欧洲
挪威,0.5088%,25,1984,62057955032,欧洲
委内瑞拉,0.4920%,26,1984,60010285714,美洲
土耳其,0.4918%,27,1984,59989909457,欧洲
丹麦,0.4846%,28,1984,59105236853,欧洲
阿尔及利亚,0.4403%,29,1984,53698278905,非洲
芬兰,0.4336%,30,1984,52888800949,欧洲
希腊,0.3937%,31,1984,48020024788,欧洲
伊拉克,0.3837%,32,1984,46802508845,亚洲
阿联酋,0.3428%,33,1984,41807954235,亚洲
泰国,0.3427%,34,1984,41797592963,亚洲
哥伦比亚,0.3136%,35,1984,38253120737,美洲
埃及,0.2785%,36,1984,33971188991,非洲
马来西亚,0.2783%,37,1984,33943505717,亚洲
香港,0.2748%,38,1984,33511383985,亚洲
菲律宾,0.2575%,39,1984,31408492876,亚洲
巴基斯坦,0.2554%,40,1984,31151824658,亚洲
以色列,0.2391%,41,1984,29160460747,亚洲
尼日利亚,0.2337%,42,1984,28500815241,非洲
葡萄牙,0.2068%,43,1984,25217969597,欧洲
古巴,0.1971%,44,1984,24039383608,美洲
科威特,0.1779%,45,1984,21697297872,亚洲
新西兰,0.1776%,46,1984,21665975318,大洋洲
爱尔兰,0.1650%,47,1984,20130728188,欧洲
新加坡,0.1619%,48,1984,19749361097,亚洲
智利,0.1609%,49,1984,19622527479,美洲
波多黎各,0.1571%,50,1984,19162600000,美洲
孟加拉,0.1551%,51,1984,18920840000,亚洲
秘鲁,0.1443%,52,1984,17599660054,美洲
保加利亚,0.1443%,53,1984,17594944444,欧洲
叙利亚,0.1435%,54,1984,17503082982,亚洲
厄瓜多尔,0.1387%,55,1984,16912515183,美洲
摩洛哥,0.1215%,56,1984,14824728528,非洲
多米尼加,0.0951%,57,1984,11594000000,美洲
苏丹,0.0795%,58,1984,9701357142,非洲
危地马拉,0.0776%,59,1984,9470000100,美洲
阿曼,0.0723%,60,1984,8821366531,亚洲
突尼斯,0.0677%,61,1984,8254891864,非洲
埃塞俄比亚,0.0664%,62,1984,8096302367,非洲
刚果（金）,0.0644%,63,1984,7857729193,非洲
喀麦隆,0.0640%,64,1984,7801858825,非洲
特立尼达和多巴哥,0.0636%,65,1984,7757083333,美洲
科特迪瓦,0.0561%,66,1984,6841638714,非洲
卡塔尔,0.0550%,67,1984,6704395824,亚洲
津巴布韦,0.0521%,68,1984,6352125900,非洲
肯尼亚,0.0508%,69,1984,6191437070,非洲
巴拿马,0.0507%,70,1984,6183387100,美洲
玻利维亚,0.0506%,71,1984,6169501037,美洲
安哥拉,0.0503%,72,1984,6131475065,非洲
斯里兰卡,0.0495%,73,1984,6043474842,亚洲
约旦,0.0407%,74,1984,4966710013,亚洲
乌拉圭,0.0398%,75,1984,4850241442,美洲
卢森堡,0.0377%,76,1984,4594891580,欧洲
巴拉圭,0.0369%,77,1984,4502462807,美洲
加纳,0.0362%,78,1984,4412279843,非洲
巴林,0.0320%,79,1984,3905585106,亚洲
文莱,0.0310%,80,1984,3782523088,亚洲
萨尔瓦多,0.0300%,81,1984,3661683400,美洲
哥斯达黎加,0.0300%,82,1984,3660476458,美洲
乌干达,0.0296%,83,1984,3615647477,非洲
加蓬,0.0292%,84,1984,3561451562,非洲
莫桑比克,0.0277%,85,1984,3376172169,非洲
洪都拉斯,0.0272%,86,1984,3319000000,美洲
尼加拉瓜,0.0255%,87,1984,3105517091,美洲
马达加斯加,0.0241%,88,1984,2939485471,非洲
冰岛,0.0235%,89,1984,2868747034,欧洲
赞比亚,0.0225%,90,1984,2739444444,非洲
塞内加尔,0.0222%,91,1984,2705535756,非洲
尼泊尔,0.0212%,92,1984,2581207387,亚洲
巴布亚新几内亚,0.0209%,93,1984,2552526263,大洋洲
牙买加,0.0195%,94,1984,2373566957,美洲
塞浦路斯,0.0187%,95,1984,2278248953,欧洲
刚果（布）,0.0180%,96,1984,2193581366,非洲
蒙古,0.0172%,97,1984,2098734600,亚洲
巴哈马,0.0167%,98,1984,2041100000,美洲
纳米比亚,0.0160%,99,1984,1947967886,非洲
阿尔巴尼亚,0.0152%,100,1984,1857338011,欧洲
海地,0.0149%,101,1984,1816200000,美洲
老挝,0.0144%,102,1984,1757142805,亚洲
卢旺达,0.0130%,103,1984,1587412957,非洲
尼日尔,0.0120%,104,1984,1461243212,非洲
布基纳法索,0.0120%,105,1984,1459880352,非洲
法属波利尼西亚,0.0113%,106,1984,1378991403,大洋洲
澳门,0.0106%,107,1984,1292281653,亚洲
博茨瓦纳,0.0102%,108,1984,1240796364,非洲
马里,0.0101%,109,1984,1232932008,非洲
马拉维,0.0099%,110,1984,1208008985,非洲
斐济群岛,0.0097%,111,1984,1177997413,大洋洲
巴巴多斯,0.0094%,112,1984,1144931139,美洲
